,predicted_mean
9940,75.26504253401427
9941,75.6554312394146
9942,75.51641304127081
9943,75.62872764339396
9944,75.82010188441973
9945,75.76260396461856
9946,75.8307169873565
9947,76.05866897139936
9948,76.21624622124988
9949,76.18091252090036
9950,76.15628810061223
9951,76.2070277760022
9952,76.1637157773733
9953,76.43153383436375
9954,76.38815387474745
9955,76.4214536017682
9956,76.53655160920813
9957,76.40859924195003
9958,76.41659078445115
9959,76.51080238283969
9960,76.57815650482074
9961,76.616481442082
9962,76.66986790323593
9963,76.68476085852018
9964,76.63400886444255
9965,76.89107281776947
9966,76.85608396454437
9967,76.88245108601225
9968,76.99085677101215
9969,76.85672287299236
9970,76.85943947839735
9971,76.9419169657946
9972,77.00135509298391
9973,77.04614269015815
9974,77.10637366829789
9975,77.1181215048485
9976,77.06671674061522
9977,77.32283715063342
9978,77.28858451611477
9979,77.3143433847904
9980,77.42216189895247
9981,77.28748564592382
9982,77.28973943901485
9983,77.3711873992422
9984,77.42993099305602
9985,77.4752856109424
9986,77.53611711316162
9987,77.54758900335456
9988,77.49612696638783
9989,77.75216459182414
9990,77.71797655164602
9991,77.74368205345166
9992,77.85144905043177
9993,77.71672521227138
9994,77.71893839914587
9995,77.80029603074122
9996,77.85897868760115
9997,77.90438305473818
9998,77.96526724572577
9999,77.97671492494331
